match_date,home_team,away_team,home_score,away_score,venue_city,venue_country,stage,group_letter,is_knockout
2026-06-24,Morocco,Haiti,4,2,Atlanta,United States,Group Stage,C,False
2026-06-25,United States,Turkey,2,3,Inglewood,United States,Group Stage,D,False
2026-06-25,Paraguay,Australia,0,0,Santa Clara,United States,Group Stage,D,False
2026-06-25,Curaçao,Ivory Coast,0,2,Philadelphia,United States,Group Stage,E,False
2026-06-25,Ecuador,Germany,2,1,East Rutherford,United States,Group Stage,E,False
2026-06-25,Japan,Sweden,1,1,Arlington,United States,Group Stage,F,False
2026-06-25,Tunisia,Netherlands,1,3,Kansas City,United States,Group Stage,F,False
2026-06-26,Egypt,Iran,1,1,Seattle,United States,Group Stage,G,False
2026-06-26,New Zealand,Belgium,1,5,Vancouver,Canada,Group Stage,G,False
2026-06-26,Cape Verde,Saudi Arabia,0,0,Houston,United States,Group Stage,H,False
2026-06-26,Uruguay,Spain,0,1,Zapopan,Mexico,Group Stage,H,False
2026-06-26,Norway,France,1,4,Foxborough,United States,Group Stage,I,False
2026-06-26,Senegal,Iraq,5,0,Toronto,Canada,Group Stage,I,False
2026-06-27,Algeria,Austria,3,3,Kansas City,United States,Group Stage,J,False
2026-06-27,Jordan,Argentina,1,3,Arlington,United States,Group Stage,J,False
2026-06-27,Colombia,Portugal,0,0,Miami Gardens,United States,Group Stage,K,False
2026-06-27,DR Congo,Uzbekistan,3,1,Atlanta,United States,Group Stage,K,False
2026-06-27,Panama,England,0,2,East Rutherford,United States,Group Stage,L,False
2026-06-27,Croatia,Ghana,2,1,Philadelphia,United States,Group Stage,L,False
2026-06-28,South Africa,Canada,0,1,Inglewood,United States,Round of 32,,True
2026-06-29,Brazil,Japan,2,1,Houston,United States,Round of 32,,True
2026-06-29,Germany,Paraguay,1,1,Foxborough,United States,Round of 32,,True
2026-06-29,Netherlands,Morocco,1,1,Guadalupe,Mexico,Round of 32,,True
2026-06-30,Ivory Coast,Norway,1,2,Arlington,United States,Round of 32,,True
2026-06-30,France,Sweden,3,0,East Rutherford,United States,Round of 32,,True
2026-06-30,Mexico,Ecuador,2,0,Mexico City,Mexico,Round of 32,,True
2026-07-01,England,DR Congo,2,1,Atlanta,United States,Round of 32,,True
2026-07-01,Belgium,Senegal,3,2,Seattle,United States,Round of 32,,True
2026-07-01,United States,Bosnia and Herzegovina,2,0,Santa Clara,United States,Round of 32,,True
2026-07-02,Spain,Austria,3,0,Inglewood,United States,Round of 32,,True
2026-07-02,Portugal,Croatia,2,1,Toronto,Canada,Round of 32,,True
2026-07-02,Switzerland,Algeria,2,0,Vancouver,Canada,Round of 32,,True
2026-07-03,Australia,Egypt,1,1,Arlington,United States,Round of 32,,True
2026-07-03,Argentina,Cape Verde,3,2,Miami Gardens,United States,Round of 32,,True
2026-07-03,Colombia,Ghana,1,0,Kansas City,United States,Round of 32,,True
2026-07-04,Canada,Morocco,0,3,Houston,United States,Round of 16,,True
2026-07-04,Paraguay,France,0,1,Philadelphia,United States,Round of 16,,True
2026-07-05,Brazil,Norway,1,2,East Rutherford,United States,Round of 16,,True
2026-07-05,Mexico,England,2,3,Mexico City,Mexico,Round of 16,,True
2026-07-06,Portugal,Spain,0,1,Dallas,United States,Round of 16,,True
2026-07-06,United States,Belgium,1,4,Seattle,United States,Round of 16,,True
2026-07-07,Argentina,Egypt,3,2,Atlanta,United States,Round of 16,,True
2026-07-07,Switzerland,Colombia,0,0,Vancouver,Canada,Round of 16,,True
2026-07-09,France,Morocco,2,0,Foxborough,United States,Quarterfinals,,True
2026-07-10,Spain,Belgium,2,1,Inglewood,United States,Quarterfinals,,True
2026-07-11,Norway,England,1,2,Miami Gardens,United States,Quarterfinals,,True
2026-07-11,Argentina,Switzerland,3,1,Kansas City,United States,Quarterfinals,,True
2026-07-14,France,Spain,0,2,Arlington,United States,Semifinals,,True
2026-07-15,England,Argentina,1,2,Atlanta,United States,Semifinals,,True
2026-07-18,France,England,4,6,Miami Gardens,United States,Third Place Playoff,,True
2026-07-19,Spain,Argentina,1,0,East Rutherford,United States,Final,,True
